description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,net_generation,2019
Illinois : all sectors,thousand megawatthours,ELEC.GEN.WND-IL-99.A,--,--,18,78,141,255,664,2337,2820,4454,6213,7727,9625,10083,10747,10663,12268,11899,13831
Illinois : electric power,,ELEC.GEN.WND-IL-98.A,,,,,,,,,,,,,,,,,,,
Illinois : electric utility,thousand megawatthours,ELEC.GEN.WND-IL-1.A,--,--,--,--,--,4,4,4,3,8,11,14,4,13,14,13,13,12,13
Illinois : independent power producers,thousand megawatthours,ELEC.GEN.WND-IL-94.A,--,--,18,78,141,251,661,2333,2816,4446,6202,7713,9622,10066,10728,10646,12249,11882,13814
Illinois : all commercial,thousand megawatthours,ELEC.GEN.WND-IL-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,4,5,5,5,5,NM
Illinois : all industrial,thousand megawatthours,ELEC.GEN.WND-IL-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana,thousand megawatthours,ELEC.GEN.WND-IN-99.A,,,,,,,,,,,,,,,,,,,
Indiana : all sectors,thousand megawatthours,ELEC.GEN.WND-IN-99.A,--,--,--,--,--,--,--,238,1403,2934,3285,3210,3481,3496,4515,4899,5089,5437,6206
Indiana : electric power,,ELEC.GEN.WND-IN-98.A,,,,,,,,,,,,,,,,,,,
Indiana : electric utility,thousand megawatthours,ELEC.GEN.WND-IN-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Indiana : independent power producers,thousand megawatthours,ELEC.GEN.WND-IN-94.A,--,--,--,--,--,--,--,238,1403,2932,3284,3209,3480,3495,4514,4899,5089,5437,6206
Indiana : all commercial,thousand megawatthours,ELEC.GEN.WND-IN-96.A,--,--,--,--,--,--,--,--,--,NM,1,1,1,1,1,1,1,0,0
Indiana : all industrial,thousand megawatthours,ELEC.GEN.WND-IN-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan,thousand megawatthours,ELEC.GEN.WND-MI-99.A,,,,,,,,,,,,,,,,,,,
Michigan : all sectors,thousand megawatthours,ELEC.GEN.WND-MI-99.A,0,0,3,2,2,2,3,141,300,360,456,1132,2800,3868,4797,4696,5191,5457,5813
Michigan : electric power,,ELEC.GEN.WND-MI-98.A,,,,,,,,,,,,,,,,,,,
Michigan : electric utility,thousand megawatthours,ELEC.GEN.WND-MI-1.A,--,--,--,--,--,--,--,--,--,--,3,274,1190,1327,1975,1947,1836,2029,2281
Michigan : independent power producers,thousand megawatthours,ELEC.GEN.WND-MI-94.A,0,0,3,2,2,2,3,141,300,360,454,858,1609,2541,2822,2749,3355,3429,3533
Michigan : all commercial,thousand megawatthours,ELEC.GEN.WND-MI-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Michigan : all industrial,thousand megawatthours,ELEC.GEN.WND-MI-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ohio,thousand megawatthours,ELEC.GEN.WND-OH-99.A,,,,,,,,,,,,,,,,,,,
Ohio : all sectors,thousand megawatthours,ELEC.GEN.WND-OH-99.A,--,--,--,--,13,14,15,15,14,13,198,985,1146,1153,1203,1245,1589,1750,2029
Ohio : electric power,,ELEC.GEN.WND-OH-98.A,,,,,,,,,,,,,,,,,,,
Ohio : electric utility,thousand megawatthours,ELEC.GEN.WND-OH-1.A,--,--,--,--,13,14,15,15,14,13,14,14,14,14,13,11,12,11,11
Ohio : independent power producers,thousand megawatthours,ELEC.GEN.WND-OH-94.A,--,--,--,--,--,--,--,--,--,--,182,959,1102,1104,1156,1180,1518,1673,1944
Ohio : all commercial,thousand megawatthours,ELEC.GEN.WND-OH-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,4,3,3
Ohio : all industrial,thousand megawatthours,ELEC.GEN.WND-OH-97.A,--,--,--,--,--,--,--,--,--,--,2,12,29,35,34,52,55,63,70
