Average Wind Speed ?,County / Population
14.80 mph,"Fayette, TX / 24,725"
14.79 mph,"Hunt, TX / 87,256"
14.78 mph,"Gonzales, TX / 20,054"
14.77 mph,"Trinity, TX / 14,452"
14.69 mph,"Bastrop, TX / 75,708"
14.64 mph,"Live Oak, TX / 11,738"
14.64 mph,"Grimes, TX / 26,812"
14.60 mph,"Upton, TX / 3,339"
14.59 mph,"Randall, TX / 124,862"
14.58 mph,"Lavaca, TX / 19,438"
14.56 mph,"De Witt, TX / 20,397"
14.56 mph,"Terry, TX / 12,681"
14.45 mph,"Rockwall, TX / 83,239"
14.44 mph,"Calhoun, TX / 21,569"
14.43 mph,"Karnes, TX / 14,884"
14.40 mph,"Walker, TX / 68,882"
14.40 mph,"La Salle, TX / 7,075"
14.33 mph,"Jim Wells, TX / 41,348"
14.24 mph,"Victoria, TX / 88,955"
14.24 mph,"Tyler, TX / 21,552"
14.21 mph,"Bee, TX / 32,462"
14.20 mph,"Colorado, TX / 20,771"
14.13 mph,"Castro, TX / 8,026"
14.10 mph,"Austin, TX / 28,724"
14.01 mph,"Waller, TX / 44,825"
13.93 mph,"Starr, TX / 62,040"
13.88 mph,"Gaines, TX / 18,496"
13.87 mph,"Reeves, TX / 13,978"
13.77 mph,"San Jacinto, TX / 26,831"
13.73 mph,"Terrell, TX / 809"
13.65 mph,"Jasper, TX / 35,826"
13.63 mph,"Jeff Davis, TX / 2,282"
13.62 mph,"Polk, TX / 45,757"
13.62 mph,"Loving, TX / 89"
13.59 mph,"Crane, TX / 4,602"
13.32 mph,"Montgomery, TX / 487,028"
13.29 mph,"Newton, TX / 14,323"
13.27 mph,"Pecos, TX / 15,677"
13.23 mph,"Andrews, TX / 16,126"
13.23 mph,"Nueces, TX / 348,130"
13.22 mph,"Ward, TX / 11,011"
13.20 mph,"Webb, TX / 259,471"
13.11 mph,"Liberty, TX / 76,707"
12.99 mph,"Goliad, TX / 7,357"
12.93 mph,"Winkler, TX / 7,404"
12.71 mph,"Ector, TX / 144,932"
12.67 mph,"San Patricio, TX / 65,509"
12.65 mph,"Presidio, TX / 7,479"
12.52 mph,"Fort Bend, TX / 632,946"
12.35 mph,"Brewster, TX / 9,270"
12.28 mph,"Galveston, TX / 302,276"
12.25 mph,"Jefferson, TX / 252,466"
11.95 mph,"Harris, TX / 4,269,608"
11.88 mph,"Hardin, TX / 55,215"
11.54 mph,"Zapata, TX / 14,231"
11.17 mph,"Orange, TX / 82,737"
